Country (or dependency),Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share
China,1440297825,0.0039,5540090,153,9388211,-348399,1.7,38,61%,0.1847
India,1382345085,0.0099,13586631,464,2973190,-532687,2.2,28,35%,0.177
United States,331341050,0.0059,1937734,36,9147420,954806,1.8,38,83%,0.0425
Indonesia,274021604,0.0107,2898047,151,1811570,-98955,2.3,30,56%,0.0351
Pakistan,221612785,0.02,4327022,287,770880,-233379,3.6,23,35%,0.0283
Brazil,212821986,0.0072,1509890,25,8358140,21200,1.7,33,88%,0.0273
Nigeria,206984347,0.0258,5175990,226,910770,-60000,5.4,18,52%,0.0264
Bangladesh,164972348,0.0101,1643222,1265,130170,-369501,2.1,28,39%,0.0211
Russia,145945524,0.0004,62206,9,16376870,182456,1.8,40,74%,0.0187
Mexico,129166028,0.0106,1357224,66,1943950,-60000,2.1,29,84%,0.0165
Japan,126407422,-0.003,-383840,347,364555,71560,1.4,48,92%,0.0162
Ethiopia,115434444,0.0257,2884858,115,1000000,30000,4.3,19,21%,0.0147
Philippines,109830324,0.0135,1464463,368,298170,-67152,2.6,26,47%,0.0141
Egypt,102659126,0.0194,1946331,103,995450,-38033,3.3,25,43%,0.0131
Vietnam,97490013,0.0091,876473,314,310070,-80000,2.1,32,38%,0.0125
DR Congo,90003954,0.0319,2770836,40,2267050,23861,6,17,46%,0.0115
Turkey,84495243,0.0109,909452,110,769630,283922,2.1,32,76%,0.0108
Iran,84176929,0.013,1079043,52,1628550,-55000,2.2,32,76%,0.0108
Germany,83830972,0.0032,266897,240,348560,543822,1.6,46,76%,0.0107
Thailand,69830779,0.0025,174396,137,510890,19444,1.5,40,51%,0.009
United Kingdom,67948282,0.0053,355839,281,241930,260650,1.8,40,83%,0.0087
France,65298930,0.0022,143783,119,547557,36527,1.9,42,82%,0.0084
Italy,60446035,-0.0015,-88249,206,294140,148943,1.3,47,69%,0.0078
Tanzania,60012400,0.0298,1728755,67,885800,-40076,4.9,18,37%,0.0077
South Africa,59436725,0.0128,750420,49,1213090,145405,2.4,28,67%,0.0076
Myanmar,54473253,0.0067,364380,83,653290,-163313,2.2,29,31%,0.007
Kenya,53968739,0.0228,1197323,94,569140,-10000,3.5,20,28%,0.0069
South Korea,51276977,0.0009,43877,527,97230,11731,1.1,44,82%,0.0066
Colombia,50976248,0.0108,543448,46,1109500,204796,1.8,31,80%,0.0065
Spain,46757980,0.0004,18002,94,498800,40000,1.3,45,80%,0.006
Uganda,45974931,0.0332,1471413,229,199810,168694,5,17,26%,0.0059
Argentina,45267449,0.0093,415097,17,2736690,4800,2.3,32,93%,0.0058
Algeria,43984569,0.0185,797990,18,2381740,-10000,3.1,29,73%,0.0056
Sudan,44019263,0.0242,1036022,25,1765048,-50000,4.4,20,35%,0.0056
Ukraine,43686577,-0.0059,-259876,75,579320,10000,1.4,41,69%,0.0056
Iraq,40372771,0.0232,912710,93,434320,7834,3.7,21,73%,0.0052
Afghanistan,39074280,0.0233,886592,60,652860,-62920,4.6,18,25%,0.005
Poland,37839255,-0.0011,-41157,124,306230,-29395,1.4,42,60%,0.0049
Canada,37799407,0.0089,331107,4,9093510,242032,1.5,41,81%,0.0048
Morocco,36985624,0.012,438791,83,446300,-51419,2.4,30,64%,0.0047
Saudi Arabia,34905942,0.0159,545343,16,2149690,134979,2.3,32,84%,0.0045
Uzbekistan,33551824,0.0148,487487,79,425400,-8863,2.4,28,50%,0.0043
Peru,33050211,0.0142,461401,26,1280000,99069,2.3,31,79%,0.0042
Angola,33032075,0.0327,1040977,26,1246700,6413,5.6,17,67%,0.0042
Malaysia,32436963,0.013,416222,99,328550,50000,2,30,78%,0.0042
Mozambique,31398811,0.0293,889399,40,786380,-5000,4.9,18,38%,0.004
Ghana,31181428,0.0215,655084,137,227540,-10000,3.9,22,57%,0.004
Yemen,29935468,0.0228,664042,56,527970,-30000,3.8,20,38%,0.0038
Nepal,29225196,0.0185,528098,203,143350,41710,1.9,25,21%,0.0037
Venezuela,28421581,-0.0028,-79889,32,882050,-653249,2.3,30,N.A.,0.0036
Madagascar,27808395,0.0268,721711,48,581795,-1500,4.1,20,39%,0.0036
Cameroon,26655083,0.0259,669483,56,472710,-4800,4.6,19,56%,0.0034
Côte d'Ivoire,26486282,0.0257,661730,83,318000,-8000,4.7,19,51%,0.0034
North Korea,25798588,0.0044,112655,214,120410,-5403,1.9,35,63%,0.0033
Australia,25550683,0.0118,296686,3,7682300,158246,1.8,38,86%,0.0033
Niger,24346468,0.0384,895929,19,1266700,4000,7,15,17%,0.0031
Taiwan,23824369,0.0018,42899,673,35410,30001,1.2,42,79%,0.0031
Sri Lanka,21428970,0.0042,89516,341,62710,-97986,2.2,34,18%,0.0027
Burkina Faso,20997293,0.0286,581895,76,273600,-25000,5.2,18,31%,0.0027
Mali,20346106,0.0302,592802,17,1220190,-40000,5.9,16,44%,0.0026
Romania,19214608,-0.0066,-126866,84,230170,-73999,1.6,43,55%,0.0025
Malawi,19211425,0.0269,501205,203,94280,-16053,4.3,18,18%,0.0025
Chile,19144605,0.0087,164163,26,743532,111708,1.7,35,85%,0.0025
Kazakhstan,18815231,0.0121,225280,7,2699700,-18000,2.8,31,58%,0.0024
Zambia,18468257,0.0293,522925,25,743390,-8000,4.7,18,45%,0.0024
Guatemala,17971382,0.019,334096,167,107160,-9215,2.9,23,52%,0.0023
Ecuador,17688599,0.0155,269392,71,248360,36400,2.4,28,63%,0.0023
Syria,17571053,0.0252,430523,95,183630,-427391,2.8,26,60%,0.0022
Netherlands,17141544,0.0022,37742,508,33720,16000,1.7,43,92%,0.0022
Senegal,16816539,0.0275,447563,87,192530,-20000,4.7,19,49%,0.0021
Cambodia,16758448,0.0141,232423,95,176520,-30000,2.5,26,24%,0.0021
Chad,16502877,0.03,478988,13,1259200,2000,5.8,17,23%,0.0021
Somalia,15965848,0.0292,450317,25,627340,-40000,6.1,17,47%,0.002
Zimbabwe,14899771,0.0148,217456,38,386850,-116858,3.6,19,38%,0.0019
Guinea,13191279,0.0283,361549,53,245720,-4000,4.7,18,39%,0.0017
